Boston Zip Codes and Areas,
City Data,http://www.city-data.com/zipmaps/Boston-Massachusetts.html
Zip Code,Area (sq mi)
02108,0.1
02109,0.2
02110,0.2
02111,0.3
02113,0.1
02114,0.4
02115,0.7
02116,0.6
02118,1.1
02119,1.6
02120,0.6
02121,1.7
02122,2
02124,3
02125,2.1
02126,2.1
02127,2
02128,4.8
02129,1.4
02130,3.3
02131,2.6
02132,4.6
02134,1.3
02135,2.6
02136,4.6
02151,5.9
02152,2
02163,0.1
02199,0.1
02203,
02210,0.9
02215,0.8
02467,4.9
