OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ShapeSTArea,ShapeSTLength
35,Quincy/Stanley Play Area,City of Boston,A97,3,Dorchester,0.372409,Quincy Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,16344.86816,529.790732
36,Deer Street Park,City of Boston,A97,3,Dorchester,0.244781,Opposite 34 Deer Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,10740.09448,487.05719
37,Savin Hill Beach,Commonwealth of Massachusetts,A97,2,Dorchester,2.989939, ,Open Space District,"Parkways, Reservations & Beaches",DCR, ,X,X,149575.5308,3618.982975
38,Coppens Square,City of Boston,A97,1,Dorchester,0.35702,Opposite 344 Bowdoin Str.,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,15552.04785,489.713741
39,Old Harbor Park,Commonwealth of Massachusetts,A97/LWCF/Ch91,2,Dorchester,7.99, ,Commercial/Office/Business District,"Parkways, Reservations & Beaches",DCR, ,X,X,346519.2256,6651.049296
40,McConnell Park,City of Boston,A97,3,Dorchester,6.201276,28 Denny Str./Playstead Rd,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,279017.4712,3043.681372
41,Boston Common,City of Boston,A97/NHL,3,Back Bay/Beacon Hill,46.522649,139 Tremont Str. @VIC,Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,1992352.514,6329.298656
42,Central Burying Ground,City of Boston,A97/NHL/PR/BL,4,Back Bay/Beacon Hill,1.49,Opposite 123 Boylston Str.,Open Space District,Cemeteries & Burying Grounds,BPRD,BPRD,X,X,64864.22852,1105.081488
43,Public Garden,City of Boston,A97,3,Back Bay/Beacon Hill,23.51,"Boylston, Arlington, Charles",Open Space District,"Parks, Playgrounds & Athletic Fields",BPRD,BPRD,X,X,1023949.008,4131.461326
44,Granary Burying Ground,City of Boston,A97/NRHP/PR/BL,4,Back Bay/Beacon Hill,1.86,Opposite 110 Tremont,Open Space District,Cemeteries & Burying Grounds,BPRD, ,X,X,80878.5769,1160.13387
45,Phillips Street Park,City of Boston,A97,3,Back Bay/Beacon Hill,0.115266,Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,5021.092285,330.554053
46,Myrtle Street Playground,City of Boston,A97,3,Back Bay/Beacon Hill,0.147666,Opposite 28 Phillips Str.,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD, ,X,X,6432.430176,334.281983
47,Louisburg Square,Private, ,1,Back Bay/Beacon Hill,0.324096, ,Residential District,"Malls, Squares & Plazas",NULL, ,N, ,14117.8645,596.068478
48,State House Park,Commonwealth of Massachusetts, ,1,Back Bay/Beacon Hill,1.238705, ,Open Space District,"Malls, Squares & Plazas",NULL, ,N,X,53958.96777,987.816357
